Nombre de Archivo,Folio,Matrícula matriz,Matrículas derivadas,Área de Terreno,Servidumbre,Tipo Predio,Dirección,Dirección Corregida
018-14337 b.pdf,14337,018-11706,,,NO,R,LT SEGUNDO,LO SEGUNDO
018-146092 b.pdf,146092,018-122860,,58.9000,NO,R,CL 19 LT L 1,CL 19 LO L 1
018-146094 b.pdf,146094,018-122860,,58.9000,NO,R,VI PEATOTAL LT L 3 EN UNA,VI PEATOTAL LO L 3 EN UNA
018-146098 b.pdf,146098,018-122860,,58.9000,NO,R,VI PEATOTAL LT L 7 EN UNA,VI PEATOTAL LO L 7 EN UNA
018-146102 B.pdf,146102,018-122860,,58.9000,NO,R,VI PEATOTAL LT L 11 UNA,VI PEATOTAL LO L 11 UNA
018-146103 B.pdf,146103,018-122860,,58.9000,NO,R,VI PEATOTAL LT L 12 UNA,VI PEATOTAL LO L 12 UNA
018-146104 B.pdf,146104,018-122860,,58.9000,NO,R,VI PEATOTAL LT L 13 UNA,VI PEATOTAL LO L 13 UNA
018-146105 b.pdf,146105,018-122860,,58.9000,NO,R,VI PEATOTAL LT L 14 UNA,VI PEATOTAL LO L 14 UNA
018-146107 B.pdf,146107,018-122860,,58.9000,NO,R,VI PEATOTAL LT L 16 UNA,VI PEATOTAL LO L 16 UNA
018-148650 B.pdf,148650,018-128442,,105.0,NO,R,KR 17 # SALIDA SAN LUIS AUTOPISTA LT 10,CR 17 N SALIDA SAN LUIS AU LO 10
018-148651 B.pdf,148651,018-128442,,105.0,NO,R,CARRERA 17.VIA DE SALIDA-SAN LUIS AUTOPISTA. LOTE # 11.,CR 17.VIA DE SALIDA-SAN LUIS AU. LO N 11.
018-148653 B.pdf,148653,018-128442,,78.0,NO,R,KR 17 # SALIDA SAN LUIS AUTOPISTA LT 13,CR 17 N SALIDA SAN LUIS AU LO 13
018-148654 B.pdf,148654,018-128442,,78.0,NO,R,KR 17 # SALIDA SAN LUIS AUTOPISTA LT 14,CR 17 N SALIDA SAN LUIS AU LO 14
018-148655 B.pdf,148655,018-128442,,78.0,NO,R,KR 17 # SALIDA SAN LUIS AUTOPISTA LT 15,CR 17 N SALIDA SAN LUIS AU LO 15
018-148656 B.pdf,148656,018-128442,,78.0,NO,R,KR 17 # SALIDA SAN LUIS AUTOPISTA LT 16,CR 17 N SALIDA SAN LUIS AU LO 16
018-148657 B.pdf,148657,018-128442,,78.0,NO,R,KR 17 # SALIDA SAN LUIS AUTOPISTA LT 17,CR 17 N SALIDA SAN LUIS AU LO 17
018-148658 B.pdf,148658,018-128442,,78.0,NO,R,KR 17 # SALIDA SAN LUIS AUTOPISTA LT 18,CR 17 N SALIDA SAN LUIS AU LO 18
018-148659 B.pdf,148659,018-128442,,78.0,NO,R,KR 17 # SALIDA SAN LUIS AUTOPISTA LT 19,CR 17 N SALIDA SAN LUIS AU LO 19
018-148660 B.pdf,148660,018-128442,,78.0,NO,R,KR 17 # SALIDA SAN LUIS AUTOPISTA LT 20,CR 17 N SALIDA SAN LUIS AU LO 20
018-148661 B.pdf,148661,018-128442,,78.0,NO,R,KR 17 # SALIDA SAN LUIS AUTOPISTA LT 21,CR 17 N SALIDA SAN LUIS AU LO 21
018-148662 B.pdf,148662,018-128442,,78.0,NO,R,KR 17 # SALIDA SAN LUIS AUTOPISTA LT 22,CR 17 N SALIDA SAN LUIS AU LO 22
018-148663 B.pdf,148663,018-128442,,85.6200,NO,R,KR 17 # SALIDA SAN LUIS AUTOPISTA LT 23,CR 17 N SALIDA SAN LUIS AU LO 23
018-148664 B.pdf,148664,018-128442,,103.3100,NO,R,KR 17 # SALIDA SAN LUIS AUTOPISTA LT 24,CR 17 N SALIDA SAN LUIS AU LO 24
018-148665 b.pdf,148665,018-128442,,102.1000,NO,R,KR 17 # SALIDA SAN LUIS AUTOPISTA LT 25,CR 17 N SALIDA SAN LUIS AU LO 25
018-148666 b.pdf,148666,018-128442,,94.5000,NO,R,KR 17 # SALIDA SAN LUIS AUTOPISTA LT 26,CR 17 N SALIDA SAN LUIS AU LO 26
